X;Y;ArrivalTime [s];FlameHeight [m];FireIntensity [kw/m]
875310,0;-4248780,0;2943,2634;5,4186673;10232,456
875340,0;-4248780,0;2997,6162;5,666481;11277,148
875370,0;-4248780,0;3065,505;5,1496763;9160,287
874770,0;-4248750,0;3039,0476;4,376658;6432,054
874800,0;-4248750,0;2968,1719;6,689493;16176,869
874830,0;-4248750,0;3007,669;5,4440646;10337,002
874860,0;-4248750,0;3039,231;5,4195385;10236,033
874890,0;-4248750,0;3059,3857;5,517737;10643,52
874920,0;-4248750,0;3048,1572;5,374989;10053,998
874950,0;-4248750,0;3016,184;5,0490313;8775,554
874980,0;-4248750,0;2970,1099;4,8682017;8106,6406
875010,0;-4248750,0;2923,5315;4,890515;8187,633
875040,0;-4248750,0;2886,2295;5,0445795;8758,743
875070,0;-4248750,0;2858,6323;5,2609057;9595,869
875100,0;-4248750,0;2839,3154;5,266206;9616,897
875130,0;-4248750,0;2822,6401;5,2008467;9359,315
875160,0;-4248750,0;2803,5952;5,1503787;9163,004
875190,0;-4248750,0;2787,2036;5,137955;9115,022
875220,0;-4248750,0;2779,0703;5,181671;9284,463
875250,0;-4248750,0;2785,4148;5,6536684;11221,791
875280,0;-4248750,0;2815,7278;5,460357;10404,374
875310,0;-4248750,0;2870,543;5,204658;9374,233
875340,0;-4248750,0;2944,6167;5,1657763;9222,659
875370,0;-4248750,0;3024,8723;4,8855495;8169,572
875400,0;-4248750,0;3134,5962;4,526827;6921,5024
874770,0;-4248720,0;2986,4868;4,1341233;5682,3174
874800,0;-4248720,0;2916,6997;6,7469187;16480,283
874830,0;-4248720,0;2948,407;5,4352517;10300,658
874860,0;-4248720,0;2974,6519;5,3622227;10002,159
874890,0;-4248720,0;2987,2788;5,2593822;9589,83
874920,0;-4248720,0;2967,0762;5,0732174;8867,198
874950,0;-4248720,0;2924,3252;4,9224887;8304,448
874980,0;-4248720,0;2874,4153;4,8684826;8107,657
875010,0;-4248720,0;2833,0588;4,90754;8249,723
875040,0;-4248720,0;2802,833;5,028229;8697,147
875070,0;-4248720,0;2777,8923;5,0857325;8914,818
875100,0;-4248720,0;2755,9797;5,022856;8676,956
875130,0;-4248720,0;2732,6467;5,071796;8861,798
875160,0;-4248720,0;2710,21;5,1339164;9099,453
875190,0;-4248720,0;2697,5156;5,132734;9094,897
875220,0;-4248720,0;2698,4167;5,4326553;10289,966
875250,0;-4248720,0;2711,8176;6,019314;12859,641
875280,0;-4248720,0;2745,1128;5,598769;10986,252
875310,0;-4248720,0;2805,76;5,0944376;8948,026
875340,0;-4248720,0;2889,2253;4,7878523;7818,5874
875370,0;-4248720,0;2983,8872;4,648136;7331,0737
875400,0;-4248720,0;3089,525;4,510943;6868,814
874740,0;-4248690,0;3143,2944;2,389418;1725,5823
874770,0;-4248690,0;2933,4463;3,9646735;5188,148
874800,0;-4248690,0;2849,9126;6,740681;16447,18
874830,0;-4248690,0;2884,518;5,337981;9904,118
874860,0;-4248690,0;2906,412;5,312892;9803,202
874890,0;-4248690,0;2901,479;5,175184;9259,212
874920,0;-4248690,0;2868,889;5,046064;8764,349
874950,0;-4248690,0;2824,8267;5,012927;8639,711
874980,0;-4248690,0;2780,278;5,02395;8681,064
875010,0;-4248690,0;2743,2607;4,944692;8386,096
875040,0;-4248690,0;2713,3499;4,864718;8094,0347
875070,0;-4248690,0;2688,2092;4,855912;8062,2188
875100,0;-4248690,0;2663,3594;4,8584313;8071,3135
875130,0;-4248690,0;2636,8462;5,0183473;8660,033
875160,0;-4248690,0;2615,326;5,11758;9036,624
875190,0;-4248690,0;2612,6926;5,264147;9608,725
875220,0;-4248690,0;2624,9614;5,57247;10874,377
875250,0;-4248690,0;2646,003;6,027735;12898,784
875280,0;-4248690,0;2679,062;5,6678877;11283,237
875310,0;-4248690,0;2741,6333;4,957213;8432,327
875340,0;-4248690,0;2833,1123;4,5724974;7074,2056
875370,0;-4248690,0;2937,756;4,4668145;6723,578
875400,0;-4248690,0;3038,9875;4,4647064;6716,6807
874740,0;-4248660,0;3092,207;2,4165728;1768,4984
874770,0;-4248660,0;2872,4438;3,9950843;5275,0493
874800,0;-4248660,0;2785,0579;6,754153;16518,72
874830,0;-4248660,0;2818,9312;5,2394066;9510,826
874860,0;-4248660,0;2828,7297;5,3076534;9782,199
874890,0;-4248660,0;2810,2666;5,268258;9625,046
874920,0;-4248660,0;2772,7456;5,20236;9365,239
874950,0;-4248660,0;2729,0347;5,1877975;9308,343
874980,0;-4248660,0;2688,0364;4,99624;8577,312
875010,0;-4248660,0;2650,0164;4,8323317;7977,3516
875040,0;-4248660,0;2616,8074;4,8465815;8028,578
875070,0;-4248660,0;2589,8757;4,764946;7737,497
875100,0;-4248660,0;2563,6406;4,775383;7774,389
